,Parameters,Mean Accuracy,Std Dev Accuracy
1,"{'C': 0.01, 'kernel': 'linear'}",0.92293004080137,0.0012775242654030506
0,"{'C': 0.001, 'kernel': 'linear'}",0.912277351097665,0.004679317427958902
11,"{'C': 0.01, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.912277351097665,0.004679317427958902
5,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.9097058744960542,0.004673861840674647
4,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.867974877516289,0.004746506785783291
13,"{'C': 0.01, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.7863500110496403,0.007440600900748621
7,"{'C': 0.001, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.7222100467808581,0.0014995211086232822
10,"{'C': 0.01, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.7222100467808581,0.0014995211086232822
3,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.563441664780088,0.0025359174000531477
9,"{'C': 0.001, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.511644351070412,0.004988297327483899
12,"{'C': 0.01, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.29718607891035165,0.0011556425895433318
2,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
6,"{'C': 0.001, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.2605245597480629,0.00010863455857967885
8,"{'C': 0.001, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.2605245597480629,0.00010863455857967885
